timestamp,temperature,humidity,occupancy,energy,anomaly
2024-01-01 00:00:00,22.993428306022466,43.89180538083319,5,35.48531979607969,0
2024-01-01 01:00:00,21.72347139765763,37.244071418357336,9,41.79552728230358,0
2024-01-01 02:00:00,23.295377076201383,35.90900558288846,8,39.597695571732096,0
2024-01-01 03:00:00,25.04605971281605,39.98312771294524,6,36.35011366054624,0
2024-01-01 04:00:00,21.531693250553328,39.14907688737536,9,41.17704976453413,0
2024-01-01 05:00:00,21.53172608610164,37.733859753363625,4,30.425710363557965,0
2024-01-01 06:00:00,25.158425631014783,43.481937237283574,7,36.244879310062075,0
2024-01-01 07:00:00,23.534869458305817,44.77652604285255,1,27.587033191517605,0
2024-01-01 08:00:00,21.061051228130097,40.442034431459234,6,33.92899513153947,0
2024-01-01 09:00:00,23.08512008717193,47.38765040527631,3,30.349210823172896,0
2024-01-01 10:00:00,21.073164614375074,34.29155442933248,8,41.79398854316059,0
2024-01-01 11:00:00,21.068540492859487,39.03170270360141,0,24.74901249674928,0
2024-01-01 12:00:00,22.48392454313207,36.41588839698598,6,31.866384670033053,0
2024-01-01 13:00:00,18.173439510684403,30.6673169146347,5,28.980187222864288,0
2024-01-01 14:00:00,18.550164334973935,39.586596570786504,7,38.067111689851565,0
2024-01-01 15:00:00,20.875424941518055,39.39126245808358,4,99.93975332427054,1
2024-01-01 16:00:00,19.974337759331153,47.567248716210656,0,24.41130977734308,0
2024-01-01 17:00:00,22.628494665190548,43.154058422773886,0,24.508610310866427,0
2024-01-01 18:00:00,20.183951848957577,34.87906587835398,8,34.006709922986936,0
2024-01-01 19:00:00,19.175392597329417,49.27046283167094,9,43.12793575739045,0
2024-01-01 20:00:00,24.931297537843108,46.10516847762676,5,38.529692093245835,0
2024-01-01 21:00:00,21.54844739902693,42.910488517343076,9,44.66346543755469,0
2024-01-01 22:00:00,22.13505640937585,38.86757950575084,4,30.229073853161285,0
2024-01-01 23:00:00,19.150503627573087,35.2028038163826,0,25.139383028971547,0
2024-01-02 00:00:00,20.911234550949636,38.138966119644735,5,27.78137360457473,0
2024-01-02 01:00:00,22.22184517941973,45.443743098520926,5,35.45647893889507,0
2024-01-02 02:00:00,19.698012845155393,49.42293152967304,2,25.851297241619896,0
2024-01-02 03:00:00,22.751396036691343,47.71621764136094,7,39.87092858574775,0
2024-01-02 04:00:00,20.79872262016239,37.55575289106863,0,20.622273677191725,0
2024-01-02 05:00:00,21.416612500413446,34.401912833554945,0,22.04263501305433,0
2024-01-02 06:00:00,20.796586775541208,40.70443123455602,5,32.35586132993301,0
2024-01-02 07:00:00,25.704556369017876,31.157803172185744,9,38.547650780111624,0
2024-01-02 08:00:00,21.97300555052413,41.615838570923906,0,21.950672451411275,0
2024-01-02 09:00:00,19.8845781420882,39.261987068506656,5,102.30138285998191,1
2024-01-02 10:00:00,23.645089824206377,37.66981749065879,0,24.010537636225653,0
2024-01-02 11:00:00,19.558312700057954,32.026484663666025,5,25.982844336052004,0
2024-01-02 12:00:00,22.41772719000951,42.568000532848586,2,29.08083922509286,0
2024-01-02 13:00:00,18.08065975224045,37.33649580169045,7,33.85192529191136,0
2024-01-02 14:00:00,19.34362790220314,34.15041582144856,5,29.926140871730418,0
